id,publication_date,year,month,keyword,title,employer,municipality
995eca210f3eac097a3656cdbb0c83a8e2f89ff7,2026-05-11,2026,5,AI,Senior VRED Visualization Artist,Avaron AB,Göteborg
038d933643c62ceae871a3b8b175ddbcd3ec8ea2,2026-05-11,2026,5,Cloud,Senior Application Security Architect,Avaron AB,Göteborg
a1f5b1f0c9568c586691d89e77bb2aa46a5bd46c,2026-05-11,2026,5,Backend,Junior Software Engineer,Avaron AB,Eskilstuna
a59cc724e829c0a862acba38458c1561c0071e8f,2026-05-08,2026,5,AI,Projektledare AI-Hubb,Stift Dalarna Science Park,Borlänge
4fa4bbfef86526b59c44c4b10f0ee39c12a6b14d,2026-05-08,2026,5,IT-support,First Line Support,Techrytera AB,Stockholm
aea165622207caf917cb9126c1e46cc7983e0747,2026-05-08,2026,5,IT-support,Förstudieledare inom on- och offboarding,Avaron AB,Stockholm
52ed8d03e20537143c703004d1959059514d0650,2026-05-08,2026,5,Cloud,Junior Data Platform Engineer,Sinch Sweden AB,Stockholm
5c874cb0dd337cb564a9118512a8c99280a92797,2026-05-08,2026,5,Cloud,SAP BTP Engineer,Avaron AB,Skövde
efaa81b451bb84201787596f1d529ead912ffbb7,2026-05-08,2026,5,Cloud,SAP BTP Developer,Incluso AB,Skövde
98e806ba2e9773262d69afc007af7602486a923f,2026-05-08,2026,5,AI,AI- och innovationscoach,Stift Dalarna Science Park,Borlänge
636ad1deea021f9cf9ae06c2a053d1118b6d508a,2026-05-07,2026,5,Backend,Senior Automation Test Engineer,Avaron AB,Stockholm
a8c492f0bfb03260779772df7bae348008c6830a,2026-05-07,2026,5,Backend,Javautvecklare,Deploja AB,Stockholm
baa748057644bf56fec17fefc2219dfe992fb300,2026-05-07,2026,5,Backend,Senior Scrum Master and Java Developer,Avaron AB,Göteborg
7ea2f6d2c039fa00b8b7f2a313e7389abc6ac523,2026-05-07,2026,5,Frontend,Senior Integration Architect & Developer,Avaron AB,Göteborg
ad85697b91c08e274982bda4f6426db0aba6ac2f,2026-05-06,2026,5,AI,Postdoktor inom AI och Materialvetenskap,Linköpings Universitet,Linköping
381b779bceeb351347ab4682e53d5459c7174ae9,2026-05-06,2026,5,AI,Software Engineer CI/CD Infrastructure,Avaron AB,Göteborg
00cf28025c681c2ab77f9a21906df41552602eb1,2026-05-06,2026,5,IT-support,Flexibel Onsitetekniker – Extrajobb vid behov i Malmö och Landskrona,Barona Professionals AB,Landskrona
77755b982aaa945030d40c16dd5806b6ec7e1134,2026-05-06,2026,5,Backend,Senior Java Backend Developer,Avaron AB,Stockholm
fb4c01f984b6cea4b41f1ad03621a37193452783,2026-05-06,2026,5,IT-support,IT Support specialist,Quattro Bemanning & Rekrytering AB,Oskarshamn
89c8cc5758f366bb40c61873e2246923de149266,2026-05-06,2026,5,Frontend,Senior Frontend Engineer,Avaron AB,Stockholm
