,id,age,height,weight,income,purchases,gender
0,1,25.0,0.9210526315789473,0.35789473684210527,0.8333333333333334,"[23, 45, 12]","[1, 0]"
1,2,43.0,0.9578947368421052,0.42105263157894735,1.0,"[34, 0, 19]","[0, 1]"
2,3,100.0,0.868421052631579,0.9473684210526315,0.6666666666666666,[],"[1, 1]"
3,4,34.0,0.8842105263157894,0.3684210526315789,0.7529761904761905,"[0, 55, 67]","[1, 0]"
4,5,29.0,1.0,0.868421052631579,0.7380952380952381,"[12, 19, 23]","[0, 1]"
5,6,42.0,0.9157894736842105,0.43157894736842106,0.8809523809523809,"[40, 41, 42]","[1, 0]"
6,7,43.0,0.9157894736842105,1.0,0.7529761904761905,"[23, 0, 0]","[0, 1]"
7,8,38.0,0.9052631578947369,0.39473684210526316,0.9285714285714286,"[22, 20]","[1, 1]"
8,9,44.0,0.9473684210526315,0.8421052631578947,0.9761904761904762,[],"[1, 0]"
9,10,33.0,0.8421052631578947,0.6842105263157895,0.0,"[14, 13, 12]","[0, 0]"
